,,Unnamed: 0,song,album,lyrics
0,0,0,Blowin’ in the Wind,,"How many roads must a man walk down
Before you call him a man?
How many seas must a white dove sail
Before she sleeps in the sand?
Yes, and how many times must the cannonballs fly
Before they're forever banned?
The answer, my friend, is blowin' in the wind
The answer is blowin' in the wind
Yes, and how many years can a mountain exist
Before it is washed to the sea?
Yes, and how many years can some people exist
Before they're allowed to be free?
Yes, and how many times can a man turn his head
And pretend that he just doesn't see?
The answer, my friend, is blowin' in the wind
The answer is blowin' in the wind
Yes, and how many times must a man look up
Before he can really see the sky?
Yes, and how many ears must one man have
Before he can hear people cry?
Yes, and how many deaths will it take 'til he knows
That too many people have died?
The answer, my friend, is blowin' in the wind
The answer is blowin' in the wind"
1,1,1,All Along the Watchtower,,"""There must be some way out of here""
Said the joker to the thief
""There's too much confusion
I can't get no relief
Businessmen, they drink my wine
Plowmen dig my earth
None of them along the line
Know what any of it is worth""
""No reason to get excited""
The thief, he kindly spoke
""There are many here among us
Who feel that life is but a joke
But you and I, we've been through that
And this is not our fate
So let us not talk falsely now
The hour is getting late""
All along the watchtower
Princes kept the view
While all the women came and went
Barefoot servants too
Outside, in the distance
A wildcat did growl
Two riders were approaching
The wind began to howl"
2,2,2,Make You Feel My Love,,"When the rain is blowing in your face
And the whole world is on your case
I could offer you a warm embrace
To make you feel my love
When the evening shadows and the stars appear
And there is no one there to dry your tears
I could hold you for a million years
To make you feel my love
I know you haven’t made your mind up yet
But I would never do you wrong
I’ve known it from the moment that we met
No doubt in my mind where you belong
I’d go hungry, I’d go black and blue
I’d go crawling down the avenue
There’s nothing that I wouldn’t do
To make you feel my love
The storms are raging on the rolling sea
And on the highway of regret
The winds of change are blowing wild and free
You ain't seen nothing like me yet
I could make you happy, make your dreams come true
Nothing that I wouldn’t do
Go to the ends of the earth for you
To make you feel my love"
3,3,3,The Times They Are A-Changin’,,"Come gather 'round people, wherever you roam
And admit that the waters around you have grown
And accept it that soon you’ll be drenched to the bone
If your time to you is worth saving
Then you better start swimmin' or you’ll sink like a stone
For the times they are a-changin'
Come writers and critics, who prophesize with your pen
And keep your eyes wide, the chance won’t come again
And don’t speak too soon
For the wheel’s still in spin
And there’s no tellin' who that it’s namin'
For the loser now will be later to win
For the times they are a-changin'
Come senators, congressmen, please heed the call
Don’t stand in the doorway, don’t block up the hall
For he that gets hurt will be he who has stalled
The battle outside ragin'
Will soon shake your windows and rattle your walls
For the times they are a-changin'
Come mothers and fathers throughout the land
And don’t criticize what you can’t understand
Your sons and your daughters are beyond your command
Your old road is rapidly aging
Please get outta' the new one if you can’t lend your hand
For the times they are a-changin'
The line it is drawn, the curse it is cast
The slow one now will later be fast
As the present now will later be past
The order is rapidly fading
And the first one now will later be last
For the times they are a-changin'"
4,4,4,Like a Rolling Stone,,"Once upon a time you dressed so fine
Threw the bums a dime in your prime, didn't you?
People call, say ""Beware doll, you're bound to fall""
You thought they were all a-kiddin' you
You used to laugh about
Everybody that was hangin' out
Now you don't talk so loud
Now you don't seem so proud
About having to be scrounging your next meal
How does it feel?
How does it feel?
To be without a home?
Like a complete unknown?
Like a rolling stone?
Aw, you've gone to the finest school all right, Miss Lonely
But ya know ya only used to get juiced in it
Nobody's ever taught ya how to live out on the street
And now you’re gonna have to get used to it
You say you never compromise
With the mystery tramp, but now you realize
He's not selling any alibis
As you stare into the vacuum of his eyes
And say, “Do you want to make a deal?""
How does it feel?
How does it feel?
To be on your own
With no direction home
A complete unknown
Like a rolling stone?
Aw, you never turned around to see the frowns
On the jugglers and the clowns when they all did tricks for you
Never understood that it ain't no good
You shouldn't let other people get your kicks for you
You used to ride on a chrome horse with your diplomat
Who carried on his shoulder a Siamese cat
Ain't it hard when you discover that
He really wasn't where it's at
After he took from you everything he could steal?
How does it feel?
How does it feel?
To hang on your own
With no direction home
Like a complete unknown
Like a rolling stone?
Aw, princess on the steeple and all the pretty people
They're all drinkin', thinkin' that they got it made
Exchangin' all precious gifts
But you'd better take your diamond ring, ya better pawn it, babe
You used to be so amused
At Napoleon in rags and the language that he used
Go to him now, he calls ya, ya can't refuse
When ya ain't got nothin', you got nothin' to lose
You're invisible now, ya got no secrets to conceal
How does it feel?
Aw, how does it feel?
To be on your own
With no direction home
Like a complete unknown
Like a rolling stone?"
5,5,5,Hurricane,,"Pistol shots ring out in the barroom night
Enter Patty Valentine from the upper hall
She sees the bartender in a pool of blood
Cries out, “My God, they killed them all!”
Here comes the story of the Hurricane
The man the authorities came to blame
For something that he never done
Put in a prison cell, but one time he could-a been
The champion of the world
Three bodies lying there does Patty see
And another man named Bello, moving around mysteriously
“I didn’t do it,” he says, and he throws up his hands
“I was only robbing the register, I hope you understand
I saw them leaving,” he says, and he stops
“One of us had better call up the cops”
And so Patty calls the cops
And they arrive on the scene with their red lights flashing
In the hot New Jersey night
Meanwhile, far away in another part of town
Rubin Carter and a couple of friends are driving around
Number one contender for the middleweight crown
Had no idea what kinda shit was about to go down
When a cop pulled him over to the side of the road
Just like the time before and the time before that
In Paterson that’s just the way things go
If you’re black you might as well not show up on the street
Unless you want to draw the heat
Alfred Bello had a partner and he had a rap for the cops
Him and Arthur Dexter Bradley were just out prowling around
He said, “I saw two men running out, they looked like middleweights
They jumped into a white car with out-of-state plates”
And Miss Patty Valentine just nodded her head
Cop said, “Wait a minute, boys, this one’s not dead”
So they took him to the infirmary
And though this man could hardly see
They told him that he could identify the guilty men
Four in the morning and they haul Rubin in
Take him to the hospital and they bring him upstairs
The wounded man looks up through his one dying eye
Says, “Why did you bring him in here for? He ain't the guy!”
Yes, here’s the story of the Hurricane
The man the authorities came to blame
For something that he never done
Put in a prison cell, but one time he could-a been
The champion of the world
Four months later, the ghettos are in flame
Rubin’s in South America, fighting for his name
While Arthur Dexter Bradley’s still in the robbery game
And the cops are putting the screws to him, looking for somebody to blame
“Remember that murder that happened in a bar?”
“Remember you said you saw the getaway car?”
“You think you’d like to play ball with the law?”
“Think it might-a been that fighter that you saw running that night?”
“Don’t forget that you are white”
Arthur Dexter Bradley said, “I’m really not sure”
Cops said, “A poor boy like you could use a break
We got you for the motel job and we’re talking to your friend Bello
Now you don’t want to have to go back to jail, be a nice fellow
You’ll be doing society a favor
That sonofabitch is brave and getting braver
We want to put his ass in stir
We want to pin this triple murder on him
He ain’t no Gentleman Jim”
Rubin could take a man out with just one punch
But he never did like to talk about it all that much
""It’s my work,"" he’d say, ""and I do it for pay
And when it’s over I’d just as soon go on my way""
Up to some paradise
Where the trout streams flow and the air is nice
And ride a horse along a trail
But then they took him to the jailhouse
Where they try to turn a man into a mouse
All of Rubin’s cards were marked in advance
The trial was a pig-circus, he never had a chance
The judge made Rubin’s witnesses drunkards from the slums
To the white folks who watched he was a revolutionary bum
And to the black folks he was just a crazy nigger
No one doubted that he pulled the trigger
And though they could not produce the gun
The D.A. said he was the one who did the deed
And the all-white jury agreed
Rubin Carter was falsely tried
The crime was murder “one,” guess who testified?
Bello and Bradley and they both baldly lied
And the newspapers, they all went along for the ride
How can the life of such a man
Be in the palm of some fool’s hand?
To see him obviously framed
Couldn’t help but make me feel ashamed to live in a land
Where justice is a game
Now all the criminals in their coats and their ties
Are free to drink martinis and watch the sun rise
While Rubin sits like Buddha in a ten-foot cell
An innocent man in a living hell
That’s the story of the Hurricane
But it won’t be over till they clear his name
And give him back the time he’s done
Put in a prison cell, but one time he could-a been
The champion of the world"
6,6,6,"Don’t Think Twice, It’s All Right",,"Well it ain't no use to sit and wonder why, babe
If'n you don't know by now
And it ain't no use to sit and wonder why, babe
It'll never do somehow
When your rooster crows at the break of dawn
Look out your window and I’ll be gone
You’re the reason I’m a-traveling on
But don’t think twice, it’s all right
And it ain't no use in turning on your light, babe
The light I never knowed
And it ain't no use in turning on your light, babe
I’m on the dark side of the road
But I wish there was something you would do or say
To try and make me change my mind and stay
But we never did too much talking anyway
But don’t think twice, it’s all right
So it ain't no use in calling out my name, gal
Like you never done before
And it ain't no use in calling out my name, gal
I can’t hear you anymore
I’m a-thinking and a-wondering, walking down the road
I once loved a woman, a child I’m told
I gave her my heart but she wanted my soul
But don’t think twice, it’s all right
So long, honey babe
Where I’m bound, I can’t tell
Goodbye's too good a word, babe
So I’ll just say fare thee well
I ain't a-saying you treated me unkind
You could've done better, but I don’t mind
You just kinda wasted my precious time
But don’t think twice, it’s all right"
7,7,7,Mr. Tambourine Man,,"Hey Mr. Tambourine Man, play a song for me
I'm not sleepy and there is no place I'm going to
Hey Mr. Tambourine Man, play a song for me
In the jingle jangle mornin' I'll come followin' you
Though I know that evening's empire has returned into sand
Vanished from my hand
Left me blindly here to stand, but still not sleeping
My weariness amazes me, I am branded on my feet
I have no one to meet
And my ancient empty street's too dead for dreaming
Hey Mr. Tambourine Man, play a song for me
I'm not sleepy and there is no place I'm going to
Hey Mr. Tambourine Man, play a song for me
In the jingle jangle mornin' I'll come followin' you
Take me on a trip upon your magic swirlin' ship
My senses have been stripped, my hands can't feel to grip
My toes too numb to step, wait only for my boot heels
To be wandering
I'm ready to go anywhere, I'm ready for to fade
Into my own parade, cast your dancin' spell my way
I promise to go under it
Hey Mr. Tambourine Man, play a song for me
I'm not sleepy and there is no place I'm going to
Hey Mr. Tambourine Man, play a song for me
In the jingle jangle mornin' I'll come followin' you
Though you might hear laughing, spinning, swinging madly across the sun
It's not aimed at anyone, it's just escaping on the run
And but for the sky there are no fences facing
And if you hear vague traces of skipping reels of rhyme
To your tambourine in time, it's just a ragged clown behind
I wouldn't pay it any mind
It's just a shadow you're seeing that he's chasing
Hey Mr. Tambourine Man, play a song for me
I'm not sleepy and there is no place I'm going to
Hey Mr. Tambourine Man, play a song for me
In the jingle jangle mornin' I'll come followin' you
And take me disappearing through the smoke rings of my mind
Down the foggy ruins of time, far past the frozen leaves
The haunted, frightened trees, out to the windy beach
Far from the twisted reach of crazy sorrow
Yes, to dance beneath the diamond sky with one hand waving free
Silhouetted by the sea, circled by the circus sands
With all memory and fate driven deep beneath the waves
Let me forget about today until tomorrow
Hey Mr. Tambourine Man, play a song for me
I'm not sleepy and there is no place I'm going to
Hey Mr. Tambourine Man, play a song for me
In the jingle jangle mornin' I'll come followin' you"
8,8,8,Subterranean Homesick Blues,,"Johnny's in the basement, mixin' up the medicine
I'm on the pavement, thinkin' about the government
The man in the trench coat, badge out, laid off
Says he's got a bad cough, wants to get it paid off
Look out kid, it's somethin' you did
God knows when, but you're doin' it again
You better duck down the alleyway, looking for a new friend
The man in the coon-skin cap in a pig pen
Wants 11 dollar bills – you only got 10
Maggie comes fleet foot, face full of black soot
Talkin' that the heat put plants in the bed, but
Phone's tapped anyway
Maggie says the many say
They must bust in early May, orders from the D.A.""
Look out kid, don't matter what you did
Walk on your tip toes, don’t tie no bows
Better stay away from those that carry around a fire hose
Keep a clean nose, watch the plainclothes
You don't need a weather man to know which way the wind blows
Oh, get sick, get well, hang around a ink well
Hang bail, hard to tell if anything is gonna sell
Try hard, get barred, get back, ride rail
Get jailed, jump bail, join the Army if you fail
Look out kid, you're gonna get hit
By losers, cheaters, six-time users
Hanging 'round the theaters
Girl by the whirlpool's looking for a new fool
Don't follow leaders, a-watch the parking meters
Oh, get born, keep warm
Short pants, romance
Learn to dance, get dressed
Get blessed, try to be a success
Please her, please him, buy gifts
Don't steal, don't lift
20 years of schoolin' and they put you on the day shift
Look out kid, they keep it all hid
Better jump down a manhole, light yourself a candle
Don't wear sandals, try to avoid the scandals
Don't want to be a bum, you better chew gum
The pump don't work 'cause the vandals took the handles"
9,9,9,Tempest,,"The pale moon rose in its glory
Out o'er the Western town
She told a sad, sad story
Of the great ship that went down
T'was the fourteenth day of April
Over the waves she rode
Sailing into tomorrow
To a gilded age foretold
The night was black with starlight
The seas were sharp and clear
Moving through the shadows
The promised hour was near
Lights were holding steady
Gliding over the foam
All the lords and ladies
Heading for their eternal home
The chandeliers were swaying
From the balustrades above
The orchestra was playing
Songs of faded love
The watchman, he lay dreaming
As the ballroom dancers twirled
He dreamed the Titanic was sinking
Into the underworld
Leo took his sketchbook
He was often so inclined
He closed his eyes and painted
The scenery in his mind
Cupid struck his bosom
And broke it with a snap
The closest woman to him
He fell into her lap
He heard a loud commotion
Something sounded wrong
His inner spirit was saying
That he couldn't stand here long
He staggered to the quarterdeck
No time now to sleep
Water on the quarterdeck
Already three foot deep
Smokestack was leaning sideways
Heavy feet began to pound
He walked into the whirlwind
Sky splitting all around
The ship was going under
The universe had opened wide
The roll was called up yonder
The angels turned aside
Lights down in the hallway
Flickering dim and dull
Dead bodies already floating
In the double bottom hull
The engines then exploded
Propellers they failed to start
The boilers overloaded
The ship's bow split apart
Passengers were flying
Backward, forward, far and fast
They mumbled, fumbled, and tumbled
Each one more weary than the last
The veil was torn asunder
'Tween the hours of twelve and one
No change, no sudden wonder
Could undo what had been done
The watchman lay there dreaming
At forty-five degrees
He dreamed that the Titanic was sinking
Dropping to her knees
Wellington he was sleeping
His bed began to slide
His valiant heart was beating
He pushed the tables aside
Glass of shattered crystal
Lay scattered roundabout
He strapped on both his pistols
How long could he hold out?
His men and his companions
Were nowhere to be seen
In silence there he waited for
Time and space to intervene
The passageway was narrow
There was blackness in the air
He saw every kind of sorrow
Heard voices everywhere
Alarm-bells were ringing
To hold back the swelling tide
Friends and lovers clinging
To each other side by side
Mothers and their daughters
Descending down the stairs
Jumped into the icy waters
Love and pity sent their prayers
The rich man, Mister Astor
Kissed his darling wife
He had no way of knowing
Be the last trip of his life
Calvin, Blake, and Wilson
Gambled in the dark
Not one of them would ever live to
Tell the tale or disembark
Brother rose up 'gainst brother
In every circumstance
They fought and slaughtered each other
In a deadly dance
They lowered down the lifeboats
From the sinking wreck
There were traitors, there were turncoats
Broken backs and broken necks
The bishop left his cabin
To help all those in need
Turned his eyes up to the heavens
Said, ""The poor are yours to feed""
Davey the brothel-keeper
Came out dismissed his girls
Saw the water getting deeper
Saw the changing of his world
Jim Backus smiled
He never learned to swim
Saw the little crippled child
And he gave his seat to him
He saw the starlight shining
Streaming from the East
Death was on the rampage
But his heart was now at peace
They battened down the hatches
But the hatches wouldn't hold
They drowned upon the staircase
Of brass and polished gold
Leo said to Cleo
I think I'm going mad
But he'd lost his mind already
Whatever mind he had
He tried to block the doorway
To save all those from harm
Blood from an open wound
Pouring down his arm
Petals fell from flowers
Tell all of them were gone
In the long and dreadful hours
The wizard's curse played on
The host was pouring brandy
He was going down slow
He stayed right to the end and he
Was the last to go
There were many, many others
Nameless here forever more
They never sailed the ocean
Or left their homes before
The watchman, he lay dreaming
The damage had been done
He dreamed the Titanic was sinking
And he tried to tell someone
The captain, barely breathing
Kneeling at the wheel
Above him and beneath him
Fifty thousand tons of steel
He looked over at his compass
And he gazed into its face
Needle pointing downward
He knew he lost the race
In the dark illumination
He remembered bygone years
He read the Book of Revelation
And he filled his cup with tears
When the Reaper's task had ended
Sixteen hundred had gone to rest
The good, the bad, the rich, the poor
The loveliest and the best
They waited at the landing
And they tried to understand
But there is no understanding
For the judgment of God's hand
The news came over the wires
And struck with deadly force
The love had lost its fires
All things had run their course
The watchman he lay dreaming
Of all the things that can be
He dreamed the Titanic was sinking
Into the deep blue sea"
